iter	Passed	Remaining
258	2406	1858
259	2416	1849
260	2425	1839
261	2435	1831
262	2445	1822
263	2454	1813
264	2463	1803
265	2473	1794
266	2482	1785
267	2490	1774
268	2499	1765
269	2508	1756
270	2518	1747
271	2527	1737
272	2536	1728
273	2545	1718
274	2554	1709
275	2564	1700
276	2573	1690
277	2582	1681
278	2592	1672
279	2602	1663
280	2612	1654
281	2621	1645
282	2630	1635
283	2640	1626
284	2647	1616
285	2657	1607
286	2666	1597
287	2675	1588
288	2684	1579
289	2694	1570
290	2703	1560
291	2713	1551
292	2722	1542
293	2731	1533
294	2741	1523
295	2750	1514
296	2758	1504
297	2766	1494
298	2773	1484
299	2781	1474
300	2788	1463
301	2796	1453
302	2804	1443
303	2811	1433
304	2819	1423
305	2826	1413
306	2834	1403
307	2841	1393
308	2849	1383
309	2857	1373
310	2864	1363
311	2872	1353
312	2879	1343
313	2887	1333
314	2894	1323
315	2902	1313
316	2910	1303
317	2917	1293
318	2924	1283
319	2931	1273
320	2939	1263
321	2946	1253
322	2954	1243
323	2961	1233
324	2968	1224
325	2976	1214
326	2984	1204
327	2992	1195
328	2999	1185
329	3007	1175
330	3014	1165
331	3022	1156
332	3029	1146
333	3037	1136
334	3045	1127
335	3052	1117
336	3060	1107
337	3067	1098
338	3074	1088
339	3082	1078
340	3089	1069
341	3096	1059
342	3105	1050
343	3113	1040
344	3120	1031
345	3127	1021
346	3134	1011
347	3142	1002
348	3149	992
349	3157	983
350	3164	973
351	3171	964
352	3179	954
353	3186	945
354	3193	935
355	3200	925
356	3207	916
357	3213	906
358	3220	897
359	3227	887
360	3234	878
361	3240	868
362	3247	858
363	3254	849
364	3261	839
365	3268	830
366	3274	820
367	3281	811
368	3288	802
369	3295	792
370	3302	783
371	3309	773
372	3316	764
373	3323	755
374	3330	745
375	3337	736
376	3344	727
377	3351	718
378	3358	708
379	3365	699
380	3372	690
381	3379	681
382	3385	671
383	3392	662
384	3398	653
385	3405	644
386	3413	635
387	3421	626
388	3428	616
389	3435	607
390	3443	598
391	3450	589
392	3458	580
393	3465	571
394	3472	562
395	3480	553
396	3487	544
397	3495	535
398	3502	526
399	3509	517
400	3517	508
401	3524	499
402	3532	490
403	3539	481
404	3546	472
405	3554	464
406	3561	455
407	3569	446
408	3577	437
409	3584	428
410	3591	419
411	3598	410
412	3605	401
413	3613	392
414	3620	383
415	3628	375
416	3635	366
417	3643	357
418	3650	348
419	3658	339
420	3666	330
421	3673	322
422	3680	313
423	3688	304
424	3695	295
425	3702	286
426	3710	278
427	3717	269
428	3724	260
429	3732	251
430	3739	242
431	3747	234
432	3754	225
433	3761	216
434	3769	207
435	3776	199
436	3783	190
437	3790	181
438	3797	172
439	3804	164
440	3811	155
441	3818	146
442	3825	138
443	3832	129
444	3838	120
445	3845	112
446	3852	103
447	3859	94
448	3866	86
449	3873	77
450	3879	68
451	3886	60
452	3893	51
453	3900	42
454	3907	34
455	3915	25
456	3922	17
457	3930	8
458	3937	0
