iter	Passed	Remaining
0	10	4806
1	21	4838
2	31	4839
3	42	4798
4	53	4859
5	63	4811
6	72	4693
7	81	4590
8	91	4550
9	100	4498
10	109	4463
11	118	4415
12	127	4384
13	137	4380
14	146	4344
15	156	4319
16	165	4302
17	175	4303
18	184	4279
19	193	4257
20	203	4240
21	212	4229
22	222	4214
23	231	4191
24	240	4176
25	249	4158
26	258	4140
27	268	4130
28	277	4115
29	287	4112
30	296	4093
31	305	4081
32	315	4070
33	325	4066
34	334	4049
35	343	4037
36	352	4021
37	361	4006
38	370	3994
39	379	3975
40	389	3968
41	398	3957
42	408	3947
43	417	3936
44	426	3925
45	435	3912
46	445	3906
47	455	3896
48	464	3885
49	474	3878
50	483	3868
51	493	3859
52	502	3849
53	512	3840
54	521	3831
55	531	3821
56	540	3814
57	550	3805
58	560	3800
59	570	3793
60	580	3785
61	589	3773
62	599	3765
63	608	3755
64	618	3749
65	627	3737
66	636	3726
67	646	3715
68	656	3707
69	665	3699
70	675	3689
71	684	3679
72	693	3667
73	702	3654
74	711	3645
75	721	3636
76	730	3625
77	740	3619
78	750	3611
79	760	3602
80	769	3592
81	778	3581
82	788	3569
83	797	3558
84	806	3550
85	815	3537
86	825	3528
87	834	3517
88	843	3507
89	853	3498
90	862	3489
91	871	3478
92	881	3467
93	890	3456
94	899	3448
95	909	3440
96	919	3431
97	928	3421
98	938	3411
99	947	3401
100	956	3392
101	965	3380
102	974	3369
103	983	3356
104	992	3347
105	1001	3336
106	1011	3326
107	1021	3318
108	1030	3309
109	1040	3300
110	1049	3290
111	1059	3281
112	1068	3272
113	1077	3261
114	1086	3251
115	1095	3239
116	1104	3229
117	1113	3218
118	1123	3209
119	1132	3200
120	1142	3190
121	1151	3180
122	1160	3170
123	1169	3160
124	1179	3152
125	1188	3142
126	1198	3132
127	1208	3124
128	1217	3114
129	1227	3106
130	1237	3099
131	1247	3090
132	1257	3081
133	1266	3071
134	1276	3063
135	1286	3054
136	1295	3044
137	1304	3035
138	1313	3024
139	1322	3012
140	1330	3000
141	1339	2989
142	1347	2978
143	1357	2969
144	1365	2957
145	1375	2948
146	1383	2936
147	1392	2926
148	1400	2914
149	1409	2904
150	1418	2893
151	1427	2883
152	1436	2873
153	1446	2864
154	1455	2854
155	1465	2845
156	1474	2836
157	1483	2826
158	1493	2817
159	1502	2808
160	1512	2800
161	1522	2790
162	1531	2780
163	1540	2771
164	1549	2760
165	1558	2751
166	1568	2742
167	1577	2732
168	1586	2722
169	1596	2713
170	1605	2704
171	1615	2694
172	1624	2685
173	1631	2672
174	1641	2663
175	1650	2653
176	1659	2643
177	1668	2634
178	1677	2624
179	1686	2614
180	1696	2604
181	1705	2595
182	1714	2586
183	1724	2576
184	1732	2566
185	1742	2557
186	1751	2547
187	1761	2538
188	1770	2529
189	1780	2520
190	1789	2510
191	1797	2500
192	1806	2490
193	1816	2481
194	1826	2472
195	1834	2462
196	1845	2454
197	1855	2446
198	1865	2436
199	1873	2426
200	1883	2417
201	1892	2407
202	1902	2398
203	1911	2389
204	1920	2379
205	1930	2370
206	1938	2360
207	1947	2350
208	1956	2340
209	1966	2332
210	1975	2322
211	1985	2312
212	1994	2303
213	2004	2294
214	2013	2285
215	2023	2275
216	2032	2267
217	2042	2257
218	2051	2247
219	2060	2238
220	2069	2228
221	2078	2218
222	2087	2209
223	2097	2200
224	2106	2190
225	2115	2181
226	2123	2170
227	2132	2160
228	2142	2151
229	2151	2141
230	2160	2132
231	2170	2123
232	2179	2113
233	2188	2104
234	2198	2095
235	2207	2086
236	2216	2076
237	2224	2065
238	2233	2056
239	2243	2046
240	2252	2037
241	2261	2027
242	2271	2018
243	2280	2009
244	2290	2000
245	2298	1990
246	2306	1979
247	2314	1969
248	2321	1958
249	2328	1946
250	2336	1936
251	2343	1925
252	2351	1914
253	2359	1904
254	2368	1894
255	2378	1885
256	2387	1876
257	2397	1867
