iter	Logloss
0	0.304880578
1	0.1866221827
2	0.1566651763
3	0.1464379224
4	0.1356161765
5	0.1236404454
6	0.1147789751
7	0.1109371366
8	0.1067655989
9	0.1031895941
10	0.09818539783
11	0.09608857421
12	0.09341431736
13	0.08861776726
14	0.08689032963
15	0.08491225812
16	0.08335013983
17	0.08193071709
18	0.08069253324
19	0.07971454678
20	0.07838368478
21	0.07614424356
22	0.07515481921
23	0.07453164078
24	0.07354687606
25	0.07266205797
26	0.07169719098
27	0.07078968892
28	0.07005804124
29	0.06913763233
30	0.06859986544
31	0.06799288147
32	0.06687987904
33	0.06590556787
34	0.06506685618
35	0.06427984567
36	0.06360761689
37	0.06292136635
38	0.06233591358
39	0.06169270035
40	0.06089854946
41	0.06035524585
42	0.05984828829
43	0.05916997523
44	0.05862910212
45	0.0580885481
46	0.05713459886
47	0.05657772745
48	0.05611138344
49	0.05554976999
50	0.05501702772
51	0.05448588104
52	0.05393606437
53	0.05342553284
54	0.05289640172
55	0.05238475354
56	0.05207057616
57	0.05156265845
58	0.05099039325
59	0.05069602056
60	0.0500639859
61	0.04980719159
62	0.04945167594
63	0.04916376557
64	0.04869864033
65	0.04851958322
66	0.04817666099
67	0.04773657913
68	0.04720365773
69	0.04691322184
70	0.04651915218
71	0.04606787256
72	0.04578966709
73	0.04557576841
74	0.0452232529
75	0.04503398571
76	0.04467281198
77	0.04436293236
78	0.04407888166
79	0.04380465613
80	0.04359692217
81	0.04320152629
82	0.04299222635
83	0.04276672082
84	0.04239252288
85	0.04227920461
86	0.0421199004
87	0.04187992906
88	0.0417430685
89	0.04151855488
90	0.04123327487
91	0.0410301203
92	0.04086850672
93	0.04067037109
94	0.04042169646
95	0.04024188419
96	0.03994395411
97	0.03974002943
98	0.03963118489
99	0.03944351832
100	0.03919701334
101	0.03910411713
102	0.03901726324
103	0.03894076192
104	0.03871133574
105	0.0385832359
106	0.03841448793
107	0.03816209795
108	0.0377251033
109	0.03745600623
110	0.03715519019
111	0.03691026147
112	0.03657380735
113	0.0363770977
114	0.03621295599
115	0.03611130567
116	0.03599192318
117	0.03585923854
118	0.03571880464
119	0.03551136973
120	0.03534728455
121	0.03528534375
122	0.03510977429
123	0.0349656023
124	0.03487682197
125	0.03475542386
126	0.03449559997
127	0.03435086663
128	0.03423471938
129	0.03408853696
130	0.03399984366
131	0.03386119474
132	0.03365870911
133	0.03361392023
134	0.03330095597
135	0.03316241738
136	0.03300536031
137	0.03279225283
138	0.03267926272
139	0.03260154645
140	0.03252408289
141	0.03243678606
142	0.03234537103
143	0.03220059547
144	0.03214105276
145	0.0319586918
146	0.03187277168
147	0.03171460224
148	0.03165654109
149	0.03150730261
150	0.03140112425
151	0.03126460003
152	0.03123105556
153	0.03099237817
154	0.03092821602
155	0.03078566364
156	0.03065274838
157	0.03059064988
158	0.03040310532
159	0.0302682845
160	0.03016409574
161	0.03005402639
162	0.02995597262
163	0.02981116782
164	0.02975175329
165	0.0296999348
166	0.02961742777
167	0.02955311606
168	0.02928818969
169	0.02915639958
170	0.0290696726
171	0.02899712066
172	0.02891698569
173	0.02891696449
174	0.02881375855
175	0.0287004874
176	0.02859427135
