iter	Passed	Remaining
405	6994	1550
406	7011	1533
407	7027	1515
408	7044	1498
409	7062	1481
410	7080	1464
411	7097	1447
412	7114	1429
413	7130	1412
414	7147	1395
415	7164	1377
416	7181	1360
417	7198	1343
418	7214	1325
419	7231	1308
420	7248	1291
421	7266	1274
422	7282	1256
423	7299	1239
424	7316	1222
425	7333	1204
426	7349	1187
427	7365	1170
428	7381	1152
429	7397	1135
430	7413	1118
431	7430	1100
432	7446	1083
433	7463	1066
434	7480	1048
435	7497	1031
436	7513	1014
437	7530	997
438	7546	979
439	7562	962
440	7579	945
441	7595	928
442	7611	910
443	7627	893
444	7643	876
445	7660	858
446	7676	841
447	7693	824
448	7710	807
449	7727	789
450	7743	772
451	7760	755
452	7777	738
453	7793	721
454	7810	703
455	7826	686
456	7845	669
457	7864	652
458	7883	635
459	7900	618
460	7918	601
461	7935	584
462	7952	566
463	7969	549
464	7987	532
465	8004	515
466	8021	498
467	8037	480
468	8054	463
469	8070	446
470	8087	429
471	8104	412
472	8121	394
473	8138	377
474	8154	360
475	8171	343
476	8187	326
477	8204	308
478	8221	291
479	8237	274
480	8254	257
481	8271	240
482	8287	223
483	8304	205
484	8321	188
485	8340	171
486	8358	154
487	8376	137
488	8392	120
489	8409	102
490	8426	85
491	8442	68
492	8461	51
493	8479	34
494	8498	17
495	8516	0
